Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,260.0,-6.0,-0.29,-2.0,51.0,0.0,1.0,0.05,0
2011,477.0,-10.0,-0.46,-6.0,52.0,0.0,-12.0,-0.55,-66
2012,519.0,0.0,0.01,6.0,58.0,9.67,-6.0,-0.27,100
2013,559.0,2.0,0.09,8.0,60.0,7.5,-3.0,-0.14,19900
2014,622.0,1.0,0.05,11.0,62.0,5.64,1.0,0.04,-50
2015,658.0,26.0,1.08,16.0,47.0,2.94,16.0,0.67,2474
2016,711.0,14.0,0.59,24.0,54.0,2.25,12.0,0.5,-46
2017,751.0,-7.0,-0.3,4.0,101.0,25.25,-42.0,-1.75,-149
2018,839.0,-6.0,-0.24,4.0,137.0,34.25,-33.0,-1.32,14
2019,810.0,-21.0,-0.84,1.0,144.0,144.0,2.0,0.08,-250
