Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2663.0,113.0,1.21,414.0,948.0,2.29,164.0,1.76,0
2011,3241.0,137.0,1.44,455.0,1017.0,2.24,24.0,0.25,21
2012,3373.0,139.0,1.46,440.0,1030.0,2.34,-77.0,-0.8,1
2013,3237.0,162.0,1.66,484.0,1313.0,2.71,-15.0,-0.15,16
2014,3238.0,168.0,1.68,514.0,1365.0,2.66,-13.0,-0.13,3
2015,2601.0,160.0,1.5,516.0,1189.0,2.3,61.0,0.58,-4
2016,2380.0,249.0,2.32,642.0,706.0,1.1,175.0,1.62,55
2017,2555.0,166.0,1.54,558.0,546.0,0.98,-69.0,-0.64,-33
2018,2859.0,202.0,1.83,581.0,532.0,0.92,-9.0,-0.08,21
2019,1699.0,864.0,7.91,1378.0,1032.0,0.75,159.0,1.46,327
