Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1.0,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0
2011,2.0,-4.0,-1.32,-4.0,-1.0,-0.0,-8.0,-2.67,-304
2012,4.0,-4.0,-0.8,-4.0,-5.0,-0.0,-8.0,-1.6,0
2013,1.0,-7.0,-1.15,-6.0,0.0,0.0,-8.0,-1.33,-75
2014,185.0,-14.0,-14.0,-4.0,36.0,0.0,-18.0,-18.0,-100
2015,160.0,-80.0,-80.0,-66.0,57.0,0.0,-21.0,-21.0,-471
2016,173.0,-86.0,-86.0,-69.0,60.0,0.0,-5.0,-5.0,-7
2017,147.0,-3.0,-3.0,12.0,64.0,5.33,0.0,0.0,96
2018,285.0,37.0,2.83,50.0,30.0,0.6,37.0,2.85,1337
2019,232.0,18.0,1.2,17.0,7.0,0.41,36.0,2.4,-51
