Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,27.0,3.0,0.27,3.0,0.0,0.0,3.0,0.27,0
2011,71.0,5.0,0.34,10.0,-7.0,-0.0,15.0,1.0,66
2012,70.0,12.0,0.8,22.0,-21.0,-0.0,20.0,1.33,139
2013,76.0,8.0,0.0,18.0,-11.0,-0.0,25.0,0.03,-33
2014,130.0,20.0,0.0,38.0,-23.0,-0.0,46.0,0.02,149
2015,161.0,35.0,1.21,64.0,-21.0,-0.0,49.0,1.69,74
2016,162.0,37.0,1.28,64.0,44.0,0.69,46.0,1.59,5
2017,173.0,40.0,1.37,69.0,65.0,0.94,67.0,2.31,8
2018,217.0,51.0,1.43,75.0,-41.0,-0.0,60.0,1.71,27
2019,231.0,65.0,1.79,92.0,-55.0,-0.0,73.0,2.03,27
