Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,158.0,25.0,0.4,40.0,0.0,0.0,0.0,0.0,0
2010,747.0,91.0,1.44,178.0,305.0,1.71,101.0,1.63,263
2011,883.0,105.0,1.75,203.0,316.0,1.56,168.0,2.85,15
2012,981.0,103.0,1.38,187.0,251.0,1.34,119.0,1.63,-1
2013,1551.0,63.0,1.08,206.0,622.0,3.02,100.0,1.75,-38
2014,1664.0,109.0,1.71,240.0,500.0,2.08,162.0,2.57,72
2015,1595.0,111.0,2.04,240.0,479.0,2.0,78.0,1.44,1
2016,1537.0,116.0,1.79,248.0,556.0,2.24,219.0,3.42,4
2017,1588.0,126.0,1.92,268.0,398.0,1.49,230.0,3.54,8
2018,1769.0,81.0,2.24,225.0,288.0,1.28,224.0,6.22,-35
2019,1805.0,125.0,2.3,267.0,220.0,0.82,155.0,2.87,54
2020,1961.0,95.0,1.76,231.0,1722.0,7.45,147.0,2.16,-24
