Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,268.0,9.0,0.31,17.0,0.0,0.0,8.0,0.28,0
2011,663.0,45.0,1.55,85.0,-74.0,-0.0,53.0,1.83,399
2012,731.0,56.0,2.09,105.0,-54.0,-0.0,42.0,1.56,24
2013,816.0,70.0,2.69,127.0,-75.0,-0.0,67.0,2.58,24
2014,849.0,69.0,2.65,125.0,-65.0,-0.0,3.0,0.12,-1
2015,911.0,71.0,2.84,132.0,-87.0,-0.0,81.0,3.24,2
2016,941.0,69.0,2.88,127.0,-31.0,-0.0,35.0,1.46,-2
2017,971.0,59.0,2.69,113.0,-37.0,-0.0,50.0,2.27,-14
2018,965.0,33.0,1.65,80.0,-72.0,-0.0,91.0,4.55,-44
2019,1006.0,27.0,1.49,65.0,-25.0,-0.0,57.0,3.17,-18
2020,1183.0,27.0,1.57,66.0,-65.0,-0.0,77.0,4.53,0
