Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,77.0,11.0,0.44,8.0,0.0,0.0,6.0,0.24,0
2011,202.0,36.0,1.44,62.0,-72.0,-0.0,40.0,1.6,226
2012,203.0,35.0,1.4,60.0,-71.0,-0.0,41.0,1.64,-2
2013,204.0,36.0,1.39,62.0,-92.0,-0.0,30.0,1.15,2
2014,226.0,42.0,1.61,70.0,-99.0,-0.0,54.0,2.08,16
2015,200.0,32.0,1.23,55.0,-125.0,-0.0,45.0,1.73,-23
2016,195.0,21.0,0.81,44.0,70.0,1.59,33.0,1.27,-34
2017,342.0,30.0,1.11,70.0,70.0,1.0,27.0,1.0,42
2018,506.0,44.0,1.4,113.0,347.0,3.07,49.0,1.58,46
2019,552.0,58.0,2.75,125.0,278.0,2.22,65.0,0.0,31
