Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,4.0,-2.0,-0.4,0.0,0.0,0.0,-1.0,-0.2,0
2011,6.0,-4.0,-1.0,0.0,9.0,0.0,0.0,0.0,-101
2012,4.0,0.0,0.0,-2.0,-1.0,-0.0,0.0,0.0,100
2013,2.0,18.0,18.0,0.0,-17.0,0.0,-4.0,-4.0,179899
2014,0.0,-2.0,-2.0,-2.0,-8.0,-0.0,-6.0,-6.0,-111
2015,2.0,0.0,0.0,0.0,-10.0,0.0,-6.0,-6.0,100
2016,2.0,-2.0,-0.4,-2.0,-2.0,-0.0,-8.0,-1.6,-20099
2017,4.0,-2.0,-0.32,-2.0,-4.0,-0.0,-6.0,-1.0,0
2018,2.0,2.0,2.0,-4.0,-18.0,-0.0,-8.0,-8.0,200
2019,4.0,0.0,0.0,-2.0,-15.0,-0.0,-5.0,-5.0,-100
