Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,18.0,-16.0,-5.33,-9.0,0.0,0.0,20.0,6.67,0
2011,33.0,-10.0,-3.32,-8.0,3.0,0.0,13.0,4.33,37
2012,30.0,5.0,0.81,6.0,-13.0,-0.0,12.0,2.0,150
2013,25.0,26.0,5.2,12.0,-120.0,-0.0,13.0,2.6,418
2014,25.0,5.0,1.25,10.0,-46.0,-0.0,12.0,3.0,-80
2015,26.0,4.0,0.56,4.0,-30.0,-0.0,6.0,0.86,-20
2016,31.0,4.0,1.32,9.0,-20.0,-0.0,20.0,6.67,0
2017,32.0,4.0,1.0,8.0,-37.0,-0.0,11.0,2.75,0
2018,34.0,6.0,1.5,10.0,-20.0,-0.0,12.0,3.0,49
2019,35.0,7.0,1.75,12.0,-62.0,-0.0,8.0,2.0,16
2020,36.0,7.0,1.75,12.0,-35.0,-0.0,7.0,1.75,0
