Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,112.0,14.0,0.52,17.0,0.0,0.0,17.0,0.63,0
2010,301.0,39.0,0.46,80.0,-94.0,-0.0,44.0,0.52,178
2011,362.0,46.0,0.53,102.0,252.0,2.47,36.0,0.41,17
2012,473.0,48.0,0.55,153.0,197.0,1.29,57.0,0.65,4
2013,489.0,38.0,0.44,135.0,139.0,1.03,75.0,0.85,-20
2014,441.0,13.0,0.15,87.0,64.0,0.74,76.0,0.86,-65
2015,472.0,22.0,0.25,98.0,52.0,0.53,60.0,0.68,69
2016,487.0,36.0,0.41,104.0,22.0,0.21,69.0,0.8,63
2017,519.0,38.0,0.44,101.0,157.0,1.55,54.0,0.64,5
2018,596.0,54.0,0.61,120.0,62.0,0.52,66.0,0.77,42
2019,624.0,86.0,0.95,153.0,101.0,0.66,111.0,1.25,59
