Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2.0,2.0,0.02,2.0,0.0,0.0,0.0,0.0,0
2011,4.0,4.0,0.12,4.0,-6.0,-0.0,-2.0,-0.07,99
2012,4.0,4.0,0.16,4.0,-6.0,-0.0,-2.0,-0.09,0
2013,21.0,4.0,0.64,6.0,27.0,4.5,0.0,0.0,0
2014,32.0,6.0,0.98,10.0,18.0,1.8,4.0,0.67,49
2015,42.0,10.0,1.66,17.0,31.0,1.82,9.0,1.5,66
2016,47.0,12.0,2.0,20.0,26.0,1.3,12.0,2.0,19
2017,-2.0,12.0,3.0,22.0,10.0,0.45,13.0,3.25,0
2018,-4.0,19.0,2.09,22.0,-4.0,-0.0,15.0,1.67,58
2019,18.0,9.0,1.26,12.0,-7.0,-0.0,8.0,1.14,-52
2020,29.0,8.0,1.12,11.0,-7.0,-0.0,8.0,1.14,-11
