Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,52.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0
2011,213.0,2.0,0.2,5.0,-16.0,-0.0,-30.0,-3.0,98
2012,221.0,5.0,0.5,8.0,-40.0,-0.0,28.0,2.8,148
2013,216.0,7.0,0.7,14.0,-26.0,-0.0,-8.0,-0.8,39
2014,227.0,6.0,0.6,13.0,-23.0,-0.0,0.0,0.0,-14
2015,242.0,11.0,1.1,20.0,-38.0,-0.0,18.0,1.8,83
2016,245.0,14.0,1.4,25.0,-53.0,-0.0,17.0,1.7,27
2017,575.0,23.0,2.09,46.0,7.0,0.15,25.0,2.27,64
2018,618.0,26.0,2.37,52.0,22.0,0.42,23.0,2.09,12
2019,681.0,38.0,3.43,59.0,23.0,0.39,4.0,0.36,46
2020,761.0,15.0,1.35,29.0,-7.0,-0.0,35.0,3.18,-60
