Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,55.0,2.0,0.16,2.0,0.0,0.0,-2.0,-0.15,0
2011,108.0,-2.0,-0.16,0.0,25.0,0.0,-4.0,-0.31,-199
2012,110.0,2.0,0.16,4.0,47.0,11.75,-7.0,-0.54,200
2013,131.0,2.0,0.16,6.0,59.0,9.83,-10.0,-0.77,0
2014,146.0,2.0,0.14,8.0,34.0,4.25,6.0,0.4,0
2015,144.0,2.0,0.14,8.0,41.0,5.13,-10.0,-0.67,0
2016,172.0,3.0,0.2,11.0,44.0,4.0,-4.0,-0.27,49
2017,242.0,15.0,1.0,18.0,61.0,3.39,-16.0,-1.07,398
2018,291.0,12.0,0.8,22.0,83.0,3.77,-6.0,-0.4,-20
2019,311.0,16.0,1.23,28.0,67.0,2.39,12.0,1.2,33
