Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,3037.0,11.0,0.14,392.0,760.0,1.94,194.0,2.43,0
2011,3301.0,-12.0,-0.14,396.0,786.0,1.98,-15.0,-0.19,-208
2012,3044.0,-253.0,-3.16,97.0,873.0,9.0,27.0,0.34,-2010
2013,2894.0,-222.0,-2.78,93.0,717.0,7.71,-61.0,-0.76,12
2014,2065.0,-17.0,-0.21,234.0,808.0,3.45,19.0,0.24,92
2015,1721.0,6.0,0.08,235.0,821.0,3.49,-2.0,-0.03,135
2016,1449.0,-78.0,-0.98,145.0,589.0,4.06,93.0,1.16,-1397
2017,1604.0,11.0,0.14,270.0,523.0,1.94,79.0,0.99,114
2018,4450.0,143.0,1.69,325.0,537.0,1.65,66.0,0.8,1198
2019,5730.0,509.0,6.27,236.0,724.0,3.07,-261.0,-3.22,255
