Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,61.0,-1.0,-0.25,-2.0,0.0,0.0,1.0,0.25,0
2011,142.0,-6.0,-0.12,-10.0,-447.0,-0.0,-3.0,-0.06,-506
2012,251.0,-4.0,-0.11,-8.0,402.0,0.0,115.0,2.88,33
2013,1145.0,125.0,1.38,142.0,-119.0,-0.0,396.0,4.45,3232
2014,1158.0,111.0,1.15,93.0,282.0,3.03,-92.0,-0.97,-11
2015,1635.0,211.0,2.06,198.0,1938.0,9.79,35.0,0.35,90
2016,1683.0,146.0,1.46,179.0,2479.0,13.85,-162.0,-1.64,-30
2017,1625.0,131.0,1.35,228.0,2282.0,10.01,-320.0,-3.33,-10
2018,1458.0,124.0,1.26,156.0,2011.0,12.89,389.0,4.01,-5
2019,1645.0,230.0,2.49,300.0,2895.0,9.65,-432.0,-4.7,85
