Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,95.0,11.0,0.69,14.0,0.0,0.0,32.0,2.0,0
2011,203.0,27.0,1.7,63.0,516.0,8.19,51.0,3.19,145
2012,257.0,47.0,2.93,102.0,453.0,4.44,32.0,2.0,74
2013,252.0,34.0,2.0,92.0,640.0,6.96,125.0,7.35,-27
2014,284.0,39.0,2.17,97.0,661.0,6.81,75.0,4.17,14
2015,343.0,58.0,2.9,132.0,319.0,2.42,96.0,4.8,48
2016,407.0,79.0,3.28,178.0,443.0,2.49,139.0,5.79,36
2017,430.0,73.0,2.6,174.0,441.0,2.53,150.0,5.36,-7
2018,522.0,115.0,3.46,200.0,278.0,1.39,233.0,7.06,57
2019,547.0,147.0,4.18,233.0,251.0,1.08,144.0,4.11,27
