Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,302.0,0.0,0.0,4.0,0.0,0.0,23.0,0.92,0
2011,620.0,15.0,0.6,21.0,-48.0,-0.0,1.0,0.04,1484
2012,668.0,13.0,0.99,36.0,-52.0,-0.0,27.0,2.08,-12
2013,745.0,30.0,2.13,73.0,-82.0,-0.0,36.0,2.57,121
2014,767.0,7.0,0.21,47.0,-70.0,-0.0,24.0,0.77,-74
2015,802.0,26.0,2.34,71.0,-79.0,-0.0,25.0,2.27,237
2016,819.0,26.0,2.34,76.0,-60.0,-0.0,33.0,3.0,0
2017,817.0,18.0,1.8,73.0,-76.0,-0.0,27.0,2.7,-29
2018,815.0,29.0,2.61,70.0,-67.0,-0.0,50.0,4.55,57
2019,800.0,21.0,2.1,47.0,-75.0,-0.0,50.0,5.0,-26
