Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,26.0,2.0,0.5,2.0,0.0,0.0,-2.0,-0.5,0
2011,50.0,2.0,0.4,6.0,34.0,5.67,15.0,3.0,0
2012,48.0,3.0,0.6,5.0,38.0,7.6,10.0,2.0,49
2013,48.0,2.0,0.4,10.0,18.0,1.8,15.0,3.0,-33
2014,47.0,6.0,1.2,12.0,70.0,5.83,7.0,1.4,198
2015,47.0,6.0,1.2,14.0,79.0,5.64,7.0,1.4,0
2016,47.0,4.0,0.8,12.0,117.0,9.75,8.0,1.6,-33
2017,49.0,2.0,0.4,13.0,108.0,8.31,6.0,1.2,-50
2018,52.0,9.0,1.49,13.0,102.0,7.85,11.0,1.83,347
2019,55.0,14.0,2.32,19.0,124.0,6.53,12.0,2.0,55
