Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,153.0,3.0,0.18,4.0,0.0,0.0,3.0,0.18,0
2011,394.0,17.0,1.01,34.0,47.0,1.38,11.0,0.65,464
2012,392.0,16.0,0.96,30.0,57.0,1.9,-6.0,-0.35,-5
2013,382.0,7.0,0.42,19.0,47.0,2.47,15.0,0.88,-56
2014,388.0,13.0,0.78,26.0,53.0,2.04,7.0,0.41,85
2015,306.0,1.0,0.06,8.0,39.0,4.88,27.0,1.59,-92
2016,260.0,-5.0,-0.31,-3.0,60.0,0.0,11.0,0.69,-595
2017,316.0,-2.0,-0.12,7.0,73.0,10.43,-15.0,-0.94,59
2018,355.0,6.0,0.36,13.0,70.0,5.38,1.0,0.06,401
2019,337.0,1.0,0.06,9.0,79.0,8.78,-9.0,-0.56,-83
