Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,97.0,1.0,0.14,-13.0,0.0,0.0,-24.0,-3.43,0
2011,140.0,-18.0,-2.25,-30.0,27.0,0.0,31.0,3.88,-1882
2012,147.0,24.0,0.89,20.0,19.0,0.95,26.0,0.96,233
2013,121.0,75.0,3.26,19.0,13.0,0.68,42.0,1.83,212
2014,110.0,16.0,0.73,26.0,1.0,0.04,9.0,0.41,-78
2015,113.0,18.0,0.83,32.0,-7.0,-0.0,18.0,0.82,12
2016,120.0,21.0,1.01,36.0,10.0,0.28,19.0,0.9,16
2017,129.0,17.0,0.82,43.0,54.0,1.26,34.0,1.62,-19
2018,156.0,37.0,1.59,54.0,42.0,0.78,39.0,1.7,117
2019,169.0,44.0,1.98,62.0,75.0,1.21,28.0,1.27,18
