Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2.0,-2.0,-1.0,-1.0,0.0,0.0,-2.0,-1.0,0
2011,4.0,-4.0,-2.0,0.0,-3.0,0.0,-4.0,-2.0,-101
2012,4.0,0.0,0.0,4.0,-2.0,-0.0,-2.0,-0.67,100
2013,4.0,2.0,0.66,2.0,-2.0,-0.0,0.0,0.0,19900
2014,6.0,0.0,0.0,2.0,-1.0,-0.0,-2.0,-0.67,-100
2015,8.0,4.0,1.32,4.0,-1.0,-0.0,0.0,0.0,39900
2016,7.0,2.0,0.5,4.0,-7.0,-0.0,-6.0,-1.5,-50
2017,9.0,-2.0,-0.5,-2.0,6.0,0.0,-15.0,-3.75,-199
2018,9.0,-4.0,-0.8,0.0,7.0,0.0,-4.0,-0.8,-101
2019,11.0,-2.0,-0.32,2.0,0.0,0.0,-6.0,-1.0,49
