Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,6.0,-2.0,-0.08,-1.0,0.0,0.0,-2.0,-0.08,0
2011,10.0,0.0,0.0,2.0,-1.0,-0.0,-4.0,-0.15,100
2012,8.0,0.0,0.0,0.0,-1.0,0.0,-4.0,-0.15,-100
2013,5.0,-2.0,-0.66,-2.0,-1.0,-0.0,-6.0,-2.0,-20099
2014,6.0,-6.0,-1.5,-6.0,-2.0,-0.0,-8.0,-2.0,-201
2015,6.0,-4.0,-0.44,-4.0,-5.0,-0.0,-6.0,-0.67,33
2016,4.0,-5.0,-0.55,-5.0,-3.0,-0.0,-8.0,-0.89,-25
2017,4.0,-5.0,-0.41,-5.0,-8.0,-0.0,-2.0,-0.17,0
2018,4.0,-4.0,-0.24,-4.0,-4.0,-0.0,-4.0,-0.27,19
2019,5.0,-2.0,-0.12,-2.0,-3.0,-0.0,2.0,0.13,49
