Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,9.0,-9.0,-0.36,-4.0,0.0,0.0,-4.0,-0.16,0
2011,4.0,-22.0,-0.82,-22.0,-24.0,-0.0,-20.0,-0.74,-144
2012,4.0,-16.0,-0.59,-17.0,-10.0,-0.0,-18.0,-0.67,27
2013,4.0,-16.0,-0.37,-16.0,-29.0,-0.0,-18.0,-0.42,0
2014,4.0,-37.0,-0.46,-36.0,-38.0,-0.0,-34.0,-0.41,-131
2015,4.0,-46.0,-0.4,-46.0,-57.0,-0.0,-44.0,-0.38,-24
2016,18.0,-36.0,-0.27,-36.0,-106.0,-0.0,-31.0,-0.24,21
2017,4.0,-64.0,-0.41,-63.0,-111.0,-0.0,-53.0,-0.34,-77
2018,4.0,-59.0,-2.25,-59.0,-71.0,-0.0,-49.0,-1.88,7
2019,1.0,-55.0,-2.87,-45.0,-42.0,-0.0,-42.0,-2.21,6
2020,1.0,-37.0,-2.11,-46.0,-32.0,-0.0,-41.0,-1.24,32
