Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,26.0,1.0,0.11,0.0,0.0,0.0,0.0,0.0,0
2011,131.0,5.0,0.55,13.0,34.0,2.62,7.0,0.78,395
2012,144.0,5.0,0.55,14.0,25.0,1.79,8.0,0.89,0
2013,139.0,-9.0,-1.0,-10.0,34.0,0.0,-8.0,-0.89,-279
2014,118.0,-15.0,-1.67,3.0,29.0,9.67,3.0,0.33,-66
2015,124.0,-9.0,-0.9,1.0,29.0,29.0,-7.0,-0.7,39
2016,125.0,4.0,0.4,7.0,17.0,2.43,11.0,1.1,144
2017,94.0,0.0,0.0,4.0,15.0,3.75,-2.0,-0.2,-100
2018,115.0,10.0,1.0,4.0,17.0,4.25,-5.0,-0.5,99900
2019,155.0,4.0,0.4,8.0,29.0,3.63,-14.0,-1.4,-60
