Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,4.0,-20.0,-1.31,-14.0,3.0,0.0,-5.0,-0.33,0
2012,4.0,-7.0,0.02,-4.0,1.0,0.0,-7.0,0.05,64
2013,6.0,-3.0,0.04,0.0,0.0,0.0,-2.0,0.03,57
2014,2.0,-4.0,0.04,-4.0,0.0,0.0,-3.0,0.04,-33
2015,7.0,-4.0,0.04,-4.0,2.0,0.0,-6.0,0.08,0
2016,5.0,-4.0,0.04,-4.0,1.0,0.0,-4.0,0.05,0
2017,2.0,-4.0,0.04,-2.0,0.0,0.0,-4.0,0.05,0
2018,4.0,-4.0,0.04,-4.0,0.0,0.0,-8.0,0.1,0
2019,4.0,-4.0,0.04,-4.0,-24.0,-0.0,-8.0,0.1,0
2020,4.0,-4.0,-0.05,-4.0,-14.0,-0.0,-10.0,-0.26,0
