Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,5.0,-2.0,-0.24,-2.0,0.0,0.0,-2.0,-0.25,0
2012,14.0,-2.0,-0.24,0.0,20.0,0.0,-4.0,-0.5,0
2013,12.0,-2.0,-0.24,0.0,18.0,0.0,-4.0,-0.5,0
2014,12.0,-2.0,-0.24,0.0,18.0,0.0,-2.0,-0.25,0
2015,3.0,-2.0,-0.28,-2.0,5.0,0.0,-2.0,-0.29,0
2016,11.0,0.0,0.0,-2.0,13.0,0.0,-1.0,-0.09,100
2017,6.0,-2.0,-0.14,0.0,9.0,0.0,-6.0,-0.46,-20099
2018,3.0,8.0,0.62,0.0,2.0,0.0,-2.0,-0.15,502
2019,11.0,9.0,0.76,6.0,5.0,0.83,-2.0,-0.17,12
2020,2.0,-4.0,-0.38,8.0,4.0,0.5,-2.0,-0.2,-144
