Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,28.0,2.0,0.4,1.0,0.0,0.0,-2.0,-0.4,0
2011,49.0,-4.0,-0.8,4.0,9.0,2.25,-6.0,-1.2,-299
2012,57.0,2.0,0.4,4.0,8.0,2.0,-2.0,-0.4,150
2013,52.0,-6.0,-1.2,2.0,7.0,3.5,0.0,0.0,-398
2014,66.0,4.0,0.68,5.0,4.0,0.8,0.0,0.0,166
2015,67.0,4.0,0.68,5.0,7.0,1.4,-2.0,-0.33,0
2016,66.0,-4.0,-0.68,-2.0,10.0,0.0,-4.0,-0.67,-199
2017,87.0,2.0,0.28,4.0,10.0,2.5,-1.0,-0.14,150
2018,115.0,5.0,0.61,7.0,-38.0,-0.0,-5.0,-0.63,148
2019,112.0,-4.0,-0.5,1.0,-23.0,-0.0,-5.0,-0.63,-179
