Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,8.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0
2011,15.0,4.0,4.0,4.0,-2.0,-0.0,-2.0,-2.0,99
2012,16.0,2.0,2.0,4.0,-2.0,-0.0,-2.0,-2.0,-50
2013,16.0,2.0,1.0,2.0,-2.0,-0.0,-2.0,-1.0,0
2014,16.0,4.0,2.0,4.0,-2.0,-0.0,0.0,0.0,99
2015,15.0,2.0,1.0,2.0,-2.0,-0.0,-2.0,-1.0,-50
2016,16.0,2.0,1.0,2.0,0.0,0.0,-2.0,-1.0,0
2017,14.0,-2.0,-1.0,2.0,0.0,0.0,-2.0,-1.0,-199
2018,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,100
2019,15.0,-4.0,-4.0,0.0,0.0,0.0,-4.0,-4.0,-40099
