Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,39.0,-4.0,-0.2,4.0,11.0,2.75,-2.0,-0.1,0
2012,34.0,-2.0,-0.1,-2.0,9.0,0.0,-2.0,-0.1,49
2013,32.0,0.0,0.0,2.0,13.0,6.5,-3.0,-0.14,100
2014,32.0,0.0,0.0,2.0,12.0,6.0,-2.0,-0.1,-100
2015,35.0,0.0,0.0,4.0,13.0,3.25,-6.0,-0.21,-100
2016,40.0,2.0,0.1,4.0,14.0,3.5,1.0,0.05,19900
2017,45.0,2.0,0.06,4.0,13.0,3.25,-4.0,-0.13,0
2018,41.0,0.0,0.0,4.0,12.0,3.0,-4.0,-0.13,-100
2019,49.0,4.0,2.0,4.0,7.0,1.75,-2.0,-1.0,39900
2020,52.0,4.0,1.06,4.0,6.0,1.5,-2.0,-0.07,0
