Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,7.0,2.0,0.26,1.0,0.0,0.0,-2.0,-0.25,0
2011,14.0,0.0,0.0,0.0,-4.0,0.0,-4.0,-0.5,-100
2012,16.0,0.0,0.0,0.0,-3.0,0.0,-6.0,-0.75,-100
2013,15.0,0.0,0.0,2.0,-4.0,-0.0,0.0,0.0,-100
2014,4.0,-4.0,-0.52,-4.0,-3.0,-0.0,-6.0,-0.75,-40099
2015,4.0,17.0,2.12,-4.0,-19.0,-0.0,-8.0,-1.0,526
2016,6.0,-2.0,-0.26,0.0,-18.0,0.0,-8.0,-1.0,-111
2017,8.0,0.0,0.0,-1.0,-15.0,-0.0,-8.0,-1.0,100
2018,6.0,5.0,0.61,6.0,-19.0,-0.0,1.0,0.13,49900
2019,32.0,10.0,1.24,12.0,-26.0,-0.0,4.0,0.5,99
