Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,146.0,-29.0,-0.94,-3.0,0.0,0.0,8.0,0.26,0
2011,401.0,-24.0,-0.74,-17.0,-75.0,-0.0,-3.0,-0.09,17
2012,343.0,-86.0,-2.7,-75.0,-54.0,-0.0,-34.0,-1.06,-258
2013,333.0,-42.0,-1.27,-32.0,-16.0,-0.0,-30.0,-0.91,51
2014,184.0,-37.0,-1.01,-29.0,-12.0,-0.0,-19.0,-0.51,11
2015,219.0,-50.0,-0.95,-27.0,72.0,0.0,-31.0,-0.6,-35
2016,240.0,-58.0,-1.07,-21.0,84.0,0.0,-10.0,-0.19,-16
2017,217.0,-44.0,-0.76,-12.0,110.0,0.0,-15.0,-0.26,24
2018,201.0,-8.0,-0.1,35.0,108.0,3.09,-5.0,-0.07,81
2019,280.0,-38.0,-0.47,7.0,136.0,19.43,-23.0,-0.3,-375
