Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,47.0,-5.0,-0.64,2.0,0.0,0.0,0.0,0.0,0
2011,34.0,-7.0,-0.77,-6.0,2.0,0.0,-4.0,-0.44,-40
2012,51.0,-5.0,-0.25,2.0,4.0,2.0,-2.0,-0.1,28
2013,53.0,0.0,0.0,4.0,2.0,0.5,0.0,0.0,100
2014,48.0,4.0,0.16,4.0,0.0,0.0,0.0,0.0,39900
2015,69.0,4.0,0.16,4.0,-4.0,-0.0,2.0,0.08,0
2016,69.0,-2.0,-0.08,2.0,-3.0,-0.0,-2.0,-0.08,-149
2017,78.0,-2.0,-0.08,-2.0,0.0,0.0,-6.0,-0.21,0
2018,72.0,-5.0,-0.15,-5.0,1.0,0.0,-5.0,-0.16,-151
2019,59.0,-4.0,-0.08,-3.0,0.0,0.0,-8.0,-0.08,19
