Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,23366.0,681.0,1.6,3340.0,7141.0,2.14,4121.0,9.7,0
2010,25179.0,712.0,1.65,2886.0,6598.0,2.29,856.0,2.0,4
2011,26034.0,1336.0,3.1,3331.0,5914.0,1.78,1516.0,3.51,87
2012,21852.0,799.0,1.83,3124.0,10874.0,3.48,1584.0,3.64,-40
2013,23483.0,1378.0,3.11,3387.0,9729.0,2.87,1895.0,4.28,72
2014,23617.0,536.0,1.26,2893.0,9542.0,3.3,1772.0,4.15,-61
2015,20675.0,917.0,2.2,2981.0,14497.0,4.86,2617.0,6.28,71
2016,19495.0,902.0,2.19,2542.0,16565.0,6.52,2497.0,6.08,-1
2017,21743.0,2144.0,5.2,2843.0,16430.0,5.78,1783.0,4.33,137
2018,23306.0,2017.0,4.91,3645.0,16363.0,4.49,3249.0,7.94,-5
2019,22376.0,1220.0,3.07,3401.0,15559.0,4.57,3628.0,9.18,-39
2020,22085.0,653.0,1.65,2959.0,11073.0,3.74,3549.0,9.05,-46
