Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,14.0,4.0,0.0,4.0,-31.0,-0.0,1.0,0.0,0
2012,16.0,2.0,0.5,3.0,68.0,22.67,2.0,0.5,-50
2013,16.0,4.0,1.0,5.0,84.0,16.8,1.0,0.25,99
2014,16.0,4.0,1.0,4.0,47.0,11.75,1.0,0.25,0
2015,16.0,4.0,1.32,4.0,50.0,12.5,1.0,0.33,0
2016,20.0,4.0,1.32,4.0,66.0,16.5,0.0,0.0,0
2017,21.0,4.0,1.32,6.0,48.0,8.0,1.0,0.33,0
2018,20.0,2.0,0.66,4.0,65.0,16.25,0.0,0.0,-50
2019,20.0,4.0,2.0,4.0,-31.0,-0.0,1.0,0.5,99
2020,20.0,4.0,1.66,4.0,31.0,7.75,0.0,0.0,0
