Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,15.0,2.0,0.5,2.0,0.0,0.0,0.0,0.0,0
2011,29.0,-9.0,-2.25,-10.0,-7.0,-0.0,-5.0,-1.25,-547
2012,23.0,-4.0,-1.0,-2.0,-12.0,-0.0,3.0,0.75,55
2013,19.0,-13.0,-3.25,-5.0,-5.0,-0.0,-7.0,-1.75,-225
2014,16.0,-8.0,-2.0,-1.0,-2.0,-0.0,-6.0,-1.5,38
2015,14.0,-4.0,-0.8,0.0,-2.0,0.0,-4.0,-0.8,49
2016,12.0,0.0,0.0,0.0,-1.0,0.0,-2.0,-0.4,100
2017,13.0,4.0,0.8,4.0,-3.0,-0.0,0.0,0.0,39900
2018,13.0,2.0,0.4,4.0,-4.0,-0.0,-2.0,-0.4,-50
2019,13.0,7.0,1.4,4.0,-5.0,-0.0,0.0,0.0,248
