Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,40.0,-2.0,-1.0,16.0,31.0,1.94,6.0,3.0,0
2011,44.0,7.0,3.5,13.0,18.0,1.38,-2.0,-1.0,451
2012,48.0,1.0,0.5,16.0,-1.0,-0.0,-1.0,-0.5,-85
2013,67.0,-7.0,-3.5,8.0,-3.0,-0.0,3.0,1.5,-793
2014,92.0,4.0,2.0,25.0,-2.0,-0.0,-2.0,-1.0,157
2015,72.0,-21.0,-10.5,-16.0,82.0,0.0,2.0,1.0,-623
2016,52.0,3.0,1.5,19.0,69.0,3.63,13.0,6.5,114
2017,64.0,-26.0,-13.0,29.0,47.0,1.62,13.0,6.5,-963
2018,79.0,14.0,7.0,34.0,46.0,1.35,8.0,4.0,153
2019,82.0,10.0,5.0,29.0,35.0,1.21,18.0,9.0,-28
