Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,7.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0
2011,23.0,2.0,0.12,4.0,-41.0,-0.0,0.0,0.0,98
2012,22.0,3.0,0.19,2.0,-42.0,-0.0,-1.0,-0.06,49
2013,30.0,4.0,0.24,4.0,-16.0,-0.0,-6.0,-0.38,32
2014,42.0,1.0,0.06,0.0,-15.0,0.0,-6.0,-0.35,-75
2015,18.0,-5.0,-0.32,-3.0,-16.0,-0.0,0.0,0.0,-595
2016,26.0,2.0,0.12,3.0,-18.0,-0.0,0.0,0.0,140
2017,15.0,4.0,0.25,4.0,-24.0,-0.0,0.0,0.0,99
2018,12.0,-4.0,-0.24,-4.0,-20.0,-0.0,-7.0,-0.44,-199
2019,0.0,4.0,0.24,4.0,-22.0,-0.0,-4.0,-0.25,200
2020,4.0,4.0,0.23,4.0,-22.0,-0.0,-4.0,-0.24,0
