Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,308.0,67.0,1.32,108.0,0.0,0.0,-35.0,-0.69,0
2010,696.0,144.0,2.93,442.0,2401.0,5.43,35.0,0.71,114
2011,756.0,170.0,3.4,490.0,2587.0,5.28,-176.0,-3.52,18
2012,828.0,187.0,1.24,534.0,3120.0,5.84,-475.0,-3.13,9
2013,939.0,231.0,1.48,607.0,3578.0,5.89,-375.0,-2.42,23
2014,1022.0,242.0,1.26,714.0,4076.0,5.71,-251.0,-1.3,4
2015,1044.0,240.0,1.33,702.0,4415.0,6.29,-145.0,-0.8,0
2016,1125.0,246.0,0.0,677.0,4582.0,6.77,-63.0,0.0,2
2017,1211.0,319.0,0.0,875.0,5035.0,5.75,-147.0,0.0,29
2018,1156.0,330.0,0.0,812.0,5332.0,6.57,-116.0,0.0,3
2019,1327.0,428.0,0.0,958.0,5803.0,6.06,-236.0,0.0,29
