Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,49.0,-4.0,-0.12,-4.0,-8.0,-0.0,0.0,0.0,0
2012,56.0,4.0,0.12,4.0,-17.0,-0.0,-2.0,-0.06,200
2013,59.0,4.0,0.12,2.0,-18.0,-0.0,-1.0,-0.03,0
2014,67.0,4.0,0.12,4.0,-20.0,-0.0,0.0,0.0,0
2015,71.0,-4.0,-0.12,-2.0,-21.0,-0.0,-2.0,-0.06,-199
2016,76.0,-13.0,-0.4,-4.0,-16.0,-0.0,-7.0,-0.22,-225
2017,94.0,-6.0,-0.18,-2.0,-18.0,-0.0,-1.0,-0.03,53
2018,103.0,-3.0,-0.09,-5.0,-15.0,-0.0,-6.0,-0.19,49
2019,98.0,-6.0,-0.18,-5.0,-8.0,-0.0,-9.0,-0.27,-100
2020,107.0,-7.0,-0.18,-4.0,-27.0,-0.0,-7.0,-0.18,-16
