Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,35.0,3.0,1.5,2.0,0.0,0.0,1.0,0.5,0
2011,89.0,5.0,2.5,8.0,-18.0,-0.0,3.0,1.5,66
2012,114.0,10.0,5.0,15.0,-20.0,-0.0,3.0,1.5,99
2013,124.0,13.0,6.5,21.0,-23.0,-0.0,9.0,4.5,29
2014,121.0,8.0,4.0,12.0,-15.0,-0.0,5.0,2.5,-38
2015,125.0,11.0,11.0,17.0,-21.0,-0.0,10.0,10.0,37
2016,136.0,18.0,18.0,29.0,-27.0,-0.0,17.0,17.0,63
2017,160.0,23.0,23.0,32.0,-20.0,-0.0,15.0,15.0,27
2018,154.0,21.0,21.0,29.0,-18.0,-0.0,19.0,19.0,-8
2019,180.0,29.0,29.0,41.0,-25.0,-0.0,15.0,15.0,38
