Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,132.0,25.0,1.13,30.0,0.0,0.0,36.0,1.64,0
2011,81.0,-21.0,-0.94,-21.0,-81.0,-0.0,-21.0,-0.95,-183
2012,81.0,-54.0,-2.33,-35.0,-64.0,-0.0,-22.0,-0.96,-157
2013,67.0,-15.0,0.05,-11.0,-68.0,-0.0,-8.0,0.04,72
2014,64.0,-26.0,0.05,-11.0,-50.0,-0.0,-7.0,0.02,-73
2015,73.0,-6.0,0.06,-3.0,-36.0,-0.0,-4.0,0.05,76
2016,77.0,-8.0,0.13,-2.0,-44.0,-0.0,0.0,0.0,-33
2017,110.0,2.0,0.2,8.0,-34.0,-0.0,-6.0,-0.6,125
2018,93.0,2.0,0.5,-1.0,-34.0,-0.0,-6.0,-1.5,0
2019,107.0,1.0,0.05,7.0,-35.0,-0.0,2.0,0.09,-50
2020,101.0,2.0,0.09,7.0,-37.0,-0.0,2.0,0.09,98
