Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,1602.0,63.0,0.49,212.0,0.0,0.0,31.0,0.25,0
2010,3792.0,198.0,1.56,543.0,647.0,1.19,202.0,1.6,214
2011,4524.0,255.0,2.11,656.0,744.0,1.13,190.0,1.58,28
2012,5053.0,308.0,2.59,757.0,680.0,0.9,178.0,1.51,20
2013,5582.0,340.0,2.86,828.0,703.0,0.85,132.0,1.12,10
2014,6163.0,373.0,3.14,924.0,928.0,1.0,-13.0,-0.11,9
2015,6186.0,425.0,3.65,1054.0,993.0,0.94,317.0,2.73,13
2016,6554.0,431.0,3.79,1081.0,980.0,0.91,369.0,3.27,1
2017,7188.0,684.0,6.2,1005.0,1071.0,1.07,344.0,3.13,58
2018,8613.0,488.0,4.43,1115.0,1141.0,1.02,202.0,1.84,-28
2019,9164.0,514.0,4.75,1231.0,1260.0,1.02,408.0,3.78,5
2020,9355.0,499.0,4.63,1228.0,1254.0,1.02,491.0,4.63,-2
