Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,16882.0,-1794.0,-3.78,-362.0,1920.0,0.0,1697.0,3.59,0
2010,11020.0,1137.0,2.34,1006.0,2413.0,2.4,540.0,1.11,163
2011,10557.0,1720.0,3.64,1398.0,2877.0,2.06,296.0,0.62,51
2012,9892.0,471.0,1.03,503.0,647.0,1.29,265.0,0.57,-72
2013,10058.0,533.0,1.14,1062.0,900.0,0.85,586.0,1.26,13
2014,38749.0,1343.0,2.02,3115.0,571.0,0.18,1275.0,1.91,151
2015,17100.0,1679.0,2.56,1985.0,6013.0,3.03,502.0,0.77,25
2016,20837.0,-652.0,-0.98,2129.0,12180.0,5.72,678.0,1.02,-138
2017,30172.0,1819.0,1.94,4002.0,13251.0,3.31,-1298.0,-1.39,378
2018,31400.0,2383.0,2.57,4192.0,10795.0,2.58,1531.0,1.66,31
2019,39291.0,2586.0,2.85,3509.0,12147.0,3.46,1315.0,1.46,8
