Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,3314.0,114.0,0.22,458.0,-2174.0,-0.0,642.0,1.23,0
2010,4091.0,618.0,1.18,932.0,-2285.0,-0.0,628.0,1.2,442
2011,4446.0,423.0,0.8,692.0,-2552.0,-0.0,722.0,1.36,-31
2012,4363.0,184.0,0.35,477.0,-1849.0,-0.0,291.0,0.56,-56
2013,4667.0,438.0,0.87,713.0,-1846.0,-0.0,618.0,1.23,138
2014,4625.0,-335.0,-0.73,99.0,-622.0,-0.0,571.0,1.25,-176
2015,4856.0,632.0,1.64,1027.0,-11.0,-0.0,690.0,1.77,288
2016,4988.0,591.0,1.55,1031.0,-452.0,-0.0,892.0,2.34,-6
2017,5025.0,304.0,0.81,1036.0,-896.0,-0.0,1108.0,2.94,-48
2018,8836.0,565.0,1.57,742.0,-1421.0,-0.0,714.0,2.02,85
2019,5063.0,344.0,0.97,622.0,-270.0,-0.0,419.0,1.2,-39
