Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,19.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0
2011,145.0,2.0,0.4,1.0,-4.0,-0.0,-9.0,-1.8,98
2012,172.0,2.0,0.34,4.0,-7.0,-0.0,4.0,0.67,0
2013,132.0,-1.0,-0.16,-1.0,-4.0,-0.0,-7.0,-1.17,-149
2014,107.0,4.0,0.68,7.0,-3.0,-0.0,-6.0,-1.0,504
2015,117.0,1.0,0.18,0.0,-3.0,0.0,-6.0,-1.0,-75
2016,77.0,4.0,0.68,4.0,3.0,0.75,-4.0,-0.67,296
2017,74.0,4.0,0.8,4.0,6.0,1.5,-3.0,-0.6,0
2018,86.0,4.0,0.8,3.0,2.0,0.67,7.0,1.4,0
2019,84.0,0.0,0.0,2.0,5.0,2.5,-6.0,-1.5,-100
2020,80.0,-2.0,-0.45,0.0,4.0,0.0,-6.0,-1.2,-20099
