Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,8627.0,441.0,2.05,1105.0,1818.0,1.65,891.0,4.13,0
2010,9700.0,613.0,2.81,1391.0,1275.0,0.92,778.0,3.57,38
2011,10860.0,683.0,3.21,1574.0,1770.0,1.12,666.0,3.13,11
2012,12134.0,735.0,3.62,1711.0,1846.0,1.08,597.0,2.94,7
2013,12540.0,734.0,3.79,1746.0,1919.0,1.1,517.0,2.66,0
2014,13506.0,720.0,3.79,1755.0,2304.0,1.31,359.0,1.89,-1
2015,14437.0,600.0,3.23,1598.0,2210.0,1.38,1369.0,7.36,-16
2016,14757.0,354.0,2.05,1375.0,0.0,0.0,802.0,4.64,-41
2017,14757.0,354.0,2.05,1374.0,1767.0,1.29,812.0,4.69,0
2018,15478.0,437.0,2.6,1510.0,1556.0,1.03,669.0,3.98,23
2019,15524.0,496.0,3.16,1628.0,1823.0,1.12,301.0,1.93,13
