Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,1200.0,6.0,0.18,34.0,-49.0,-0.0,-10.0,-0.3,0
2012,1140.0,10.0,0.3,45.0,-73.0,-0.0,34.0,1.06,66
2013,500.0,18.0,0.9,19.0,-101.0,-0.0,35.0,1.75,79
2014,544.0,32.0,0.64,34.0,-134.0,-0.0,42.0,0.88,77
2015,600.0,17.0,0.56,35.0,-32.0,-0.0,-15.0,-0.52,-46
2016,633.0,19.0,0.76,46.0,-45.0,-0.0,33.0,1.32,11
2017,667.0,35.0,0.95,71.0,-93.0,-0.0,65.0,1.81,84
2018,683.0,32.0,0.98,65.0,-84.0,-0.0,31.0,0.97,-8
2019,767.0,37.0,1.01,65.0,-104.0,-0.0,46.0,1.28,15
2020,765.0,40.0,1.07,69.0,-94.0,-0.0,31.0,0.84,8
