Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,5531.0,555.0,2.18,1331.0,2680.0,2.01,553.0,2.18,0
2010,5636.0,528.0,2.2,1274.0,1776.0,1.39,2307.0,9.61,-4
2011,5903.0,606.0,2.78,1268.0,2007.0,1.58,548.0,2.51,14
2012,5995.0,629.0,3.0,1341.0,2438.0,1.82,272.0,1.3,3
2013,5997.0,624.0,3.08,897.0,2421.0,2.7,688.0,3.41,0
2014,6121.0,703.0,3.6,1415.0,2346.0,1.66,860.0,4.41,12
2015,6282.0,764.0,4.02,1526.0,2471.0,1.62,855.0,4.5,8
2016,6440.0,847.0,4.58,1682.0,2691.0,1.6,787.0,4.25,10
2017,6690.0,1076.0,5.91,1625.0,4418.0,2.72,839.0,4.61,27
2018,8088.0,659.0,0.58,1812.0,15576.0,8.6,1509.0,1.38,-38
2019,11120.0,1254.0,0.87,3057.0,14345.0,4.69,2391.0,1.68,90
2020,11229.0,1180.0,0.81,2924.0,14191.0,4.85,2326.0,1.64,-5
