Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2493.0,12.0,0.33,21.0,0.0,0.0,18.0,0.5,0
2011,5549.0,62.0,1.73,87.0,15.0,0.17,6.0,0.17,416
2012,5449.0,48.0,1.3,89.0,-12.0,-0.0,41.0,1.11,-22
2013,5410.0,57.0,1.54,68.0,-97.0,-0.0,96.0,2.59,18
2014,5561.0,22.0,0.59,39.0,8.0,0.21,-88.0,-2.38,-61
2015,5517.0,52.0,1.4,85.0,13.0,0.15,10.0,0.27,136
2016,5275.0,118.0,3.11,169.0,-29.0,-0.0,29.0,0.76,126
2017,5372.0,70.0,1.8,103.0,-22.0,-0.0,48.0,1.23,-40
2018,5511.0,24.0,0.62,10.0,-33.0,-0.0,11.0,0.28,-65
2019,6670.0,112.0,2.86,168.0,-24.0,-0.0,96.0,2.46,366
