Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,5.0,4.0,0.56,4.0,24.0,6.0,0.0,0.0,0
2012,6.0,4.0,0.56,4.0,26.0,6.5,-2.0,-0.29,0
2013,11.0,4.0,0.56,4.0,20.0,5.0,0.0,0.0,0
2014,9.0,4.0,0.52,4.0,13.0,3.25,0.0,0.0,0
2015,9.0,4.0,0.52,4.0,23.0,5.75,0.0,0.0,0
2016,8.0,4.0,0.52,4.0,29.0,7.25,-2.0,-0.25,0
2017,8.0,4.0,0.52,4.0,51.0,12.75,0.0,0.0,0
2018,8.0,4.0,0.52,4.0,51.0,12.75,-2.0,-0.25,0
2019,8.0,4.0,4.0,4.0,65.0,16.25,0.0,0.0,0
2020,8.0,4.0,2.24,4.0,60.0,15.0,0.0,0.0,0
