Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,9193.0,376.0,1.69,717.0,3986.0,5.56,-84.0,-0.38,0
2012,10264.0,413.0,1.82,782.0,4256.0,5.44,-233.0,-1.03,9
2013,11260.0,432.0,1.9,826.0,5422.0,6.56,-1011.0,-4.43,4
2014,12909.0,491.0,2.2,928.0,6639.0,7.15,-915.0,-4.1,13
2015,14633.0,596.0,2.78,1107.0,8775.0,7.93,-1267.0,-5.89,21
2016,15540.0,622.0,3.06,1182.0,10198.0,8.63,-462.0,-2.28,4
2017,16242.0,625.0,3.29,1229.0,11644.0,9.47,-884.0,-4.65,0
2018,17539.0,662.0,3.66,1312.0,12583.0,9.59,-376.0,-2.08,5
2019,18610.0,840.0,4.78,1369.0,13643.0,9.97,-141.0,-0.81,26
2020,20775.0,886.0,5.32,1458.0,15350.0,10.53,-565.0,-3.4,5
