Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,40.0,4.0,0.56,5.0,0.0,0.0,-1.0,-0.14,0
2012,35.0,4.0,0.56,4.0,-1.0,-0.0,0.0,0.0,0
2013,33.0,7.0,0.99,10.0,-1.0,-0.0,-2.0,-0.29,74
2014,22.0,-5.0,-0.72,-8.0,-1.0,-0.0,-1.0,-0.14,-171
2015,23.0,2.0,0.34,4.0,-1.0,-0.0,-3.0,-0.5,140
2016,25.0,2.0,0.28,2.0,-1.0,-0.0,-5.0,-0.71,0
2017,22.0,0.0,0.0,2.0,-1.0,-0.0,-4.0,-0.57,-100
2018,22.0,-1.0,-0.15,2.0,-1.0,-0.0,-1.0,-0.14,-10100
2019,19.0,4.0,0.56,4.0,-2.0,-0.0,-2.0,-0.29,504
2020,18.0,0.0,0.0,0.0,-2.0,0.0,-4.0,-0.57,-100
