Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,253.0,4.0,0.4,8.0,6.0,0.75,-7.0,-0.7,0
2012,344.0,10.0,1.0,15.0,15.0,1.0,-10.0,-1.0,149
2013,359.0,10.0,0.9,19.0,-9.0,-0.0,24.0,2.18,0
2014,304.0,6.0,0.54,12.0,2.0,0.17,-5.0,-0.45,-40
2015,432.0,3.0,0.27,11.0,41.0,3.73,7.0,0.64,-50
2016,483.0,5.0,0.45,15.0,43.0,2.87,-1.0,-0.09,66
2017,466.0,4.0,0.4,15.0,41.0,2.73,2.0,0.2,-20
2018,445.0,-1.0,-0.1,7.0,33.0,4.71,5.0,0.5,-124
2019,462.0,-8.0,-0.8,1.0,34.0,34.0,-4.0,-0.4,-708
2020,433.0,-8.0,-0.8,0.0,45.0,0.0,-11.0,-1.1,0
