Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,272.0,15.0,1.35,25.0,0.0,0.0,17.0,1.55,0
2011,681.0,44.0,3.36,74.0,31.0,0.42,8.0,0.62,193
2012,-2.0,-2.0,-0.18,14.0,-1.0,-0.0,50.0,4.17,-104
2013,-1.0,-1.0,-0.08,33.0,-50.0,-0.0,63.0,4.85,49
2014,-1.0,-1.0,-0.08,38.0,12.0,0.32,41.0,3.15,-1
2015,-1.0,-1.0,-0.09,19.0,1.0,0.05,64.0,4.92,-1
2016,745.0,61.0,4.68,44.0,-22.0,-0.0,63.0,4.85,6261
2017,818.0,21.0,1.6,80.0,-23.0,-0.0,55.0,4.23,-65
2018,866.0,57.0,4.37,129.0,-68.0,-0.0,65.0,5.0,171
2019,952.0,23.0,1.52,99.0,734.0,7.41,51.0,3.19,-59
