Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1102.0,8.0,0.38,52.0,0.0,0.0,-4.0,-0.19,0
2011,5263.0,56.0,2.24,127.0,610.0,4.8,-3.0,-0.12,599
2012,3315.0,78.0,3.12,183.0,833.0,4.55,-268.0,-10.72,39
2013,4004.0,105.0,4.2,205.0,942.0,4.6,-12.0,-0.48,34
2014,5389.0,137.0,5.25,260.0,1790.0,6.88,-48.0,-1.85,30
2015,7862.0,181.0,6.94,342.0,1911.0,5.59,-2.0,-0.08,32
2016,8676.0,196.0,7.84,380.0,2341.0,6.16,-6.0,-0.24,8
2017,10086.0,243.0,10.1,476.0,2909.0,6.11,59.0,2.46,23
2018,11819.0,264.0,10.98,529.0,3410.0,6.45,365.0,15.21,8
2019,12670.0,270.0,11.72,591.0,3452.0,5.84,390.0,16.96,2
2020,12624.0,260.0,11.29,577.0,3464.0,6.0,421.0,18.3,-3
