Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,49.0,2.0,0.4,1.0,0.0,0.0,0.0,0.0,0
2012,94.0,0.0,0.0,3.0,12.0,4.0,-6.0,-1.2,-100
2013,93.0,-26.0,-5.2,-17.0,11.0,0.0,-4.0,-0.8,-260100
2014,89.0,1.0,0.2,0.0,13.0,0.0,-6.0,-1.2,103
2015,91.0,8.0,1.33,5.0,3.0,0.6,-3.0,-0.5,692
2016,97.0,4.0,0.58,10.0,6.0,0.6,-1.0,-0.14,-50
2017,85.0,4.0,0.56,7.0,-4.0,-0.0,8.0,1.14,0
2018,93.0,-1.0,-0.15,7.0,-13.0,-0.0,0.0,0.0,-124
2019,98.0,2.0,0.24,3.0,-10.0,-0.0,-2.0,-0.25,302
2020,106.0,2.0,0.24,8.0,-13.0,-0.0,3.0,0.38,0
