Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,12.0,0.0,0.0,2.0,0.0,0.0,11.0,5.5,0
2011,24.0,4.0,1.32,5.0,59.0,11.8,14.0,4.67,395
2012,28.0,4.0,1.32,10.0,45.0,4.5,14.0,4.67,0
2013,28.0,4.0,1.32,7.0,39.0,5.57,9.0,3.0,0
2014,39.0,7.0,2.34,13.0,64.0,4.92,5.0,1.67,59
2015,41.0,8.0,2.68,16.0,57.0,3.56,5.0,1.67,12
2016,39.0,8.0,2.68,14.0,53.0,3.79,15.0,5.0,0
2017,40.0,4.0,1.0,6.0,50.0,8.33,3.0,0.75,-44
2018,41.0,9.0,2.25,14.0,37.0,2.64,17.0,4.25,99
2019,45.0,9.0,2.25,15.0,29.0,1.93,5.0,1.25,0
