Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,60.0,8.0,0.32,9.0,0.0,0.0,9.0,0.36,0
2011,114.0,18.0,0.68,34.0,172.0,5.06,44.0,1.69,124
2012,113.0,19.0,0.65,39.0,36.0,0.92,40.0,1.38,5
2013,123.0,23.0,0.69,44.0,66.0,1.5,44.0,1.29,20
2014,129.0,29.0,0.79,52.0,141.0,2.71,39.0,1.05,26
2015,136.0,30.0,0.82,54.0,190.0,3.52,35.0,0.95,3
2016,164.0,40.0,0.95,70.0,196.0,2.8,44.0,1.05,33
2017,189.0,51.0,1.1,88.0,182.0,2.07,64.0,1.36,27
2018,194.0,61.0,1.27,88.0,81.0,0.92,74.0,1.57,19
2019,221.0,68.0,1.36,98.0,9.0,0.09,82.0,1.64,11
