Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,403.0,11.0,0.61,40.0,0.0,0.0,-9.0,-0.5,0
2011,817.0,23.0,1.19,112.0,338.0,3.02,21.0,1.11,108
2012,827.0,6.0,1.5,84.0,398.0,4.74,-23.0,-5.75,-73
2013,820.0,26.0,1.3,117.0,369.0,3.15,25.0,1.25,332
2014,854.0,4.0,2.0,79.0,377.0,4.77,30.0,15.0,-84
2015,822.0,65.0,2.93,89.0,381.0,4.28,22.0,1.0,1520
2016,794.0,9.0,2.25,94.0,346.0,3.68,50.0,12.5,-86
2017,783.0,-92.0,-92.0,-11.0,359.0,0.0,-1.0,-1.0,-1121
2018,799.0,-7.0,-7.0,68.0,372.0,5.47,-8.0,-8.0,92
2019,783.0,-67.0,-3.03,3.0,343.0,114.33,33.0,1.5,-858
