Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,16.0,3.0,0.5,3.0,0.0,0.0,2.0,0.33,0
2011,32.0,5.0,0.84,11.0,30.0,2.73,5.0,0.83,66
2012,32.0,6.0,1.0,12.0,15.0,1.25,5.0,0.83,19
2013,36.0,7.0,1.01,11.0,10.0,0.91,4.0,0.57,16
2014,43.0,8.0,0.88,15.0,13.0,0.87,12.0,1.33,14
2015,47.0,9.0,0.99,16.0,28.0,1.75,8.0,0.89,12
2016,48.0,9.0,0.99,16.0,25.0,1.56,5.0,0.56,0
2017,49.0,12.0,1.2,14.0,27.0,1.93,4.0,0.4,33
2018,58.0,13.0,1.17,21.0,85.0,4.05,16.0,1.45,8
2019,65.0,16.0,1.2,24.0,23.0,0.96,16.0,1.23,22
