Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,4693.0,553.0,5.17,1126.0,1246.0,1.11,748.0,6.99,0
2010,5002.0,571.0,5.54,1175.0,1957.0,1.67,765.0,7.43,3
2011,5541.0,531.0,5.31,1173.0,2061.0,1.76,712.0,7.12,-7
2012,5670.0,583.0,6.14,1245.0,2189.0,1.76,671.0,7.06,9
2013,5807.0,573.0,6.36,1221.0,2596.0,2.13,618.0,6.87,-1
2014,6009.0,510.0,6.08,1165.0,2449.0,2.1,536.0,6.38,-10
2015,8679.0,438.0,4.46,1445.0,5647.0,3.91,729.0,7.44,-14
2016,9640.0,731.0,7.16,1812.0,5416.0,2.99,927.0,9.09,66
2017,10440.0,1272.0,12.46,1888.0,6445.0,3.41,1151.0,11.28,74
2018,11332.0,883.0,8.72,2044.0,5632.0,2.76,1630.0,16.14,-30
2019,11553.0,823.0,8.46,2097.0,5867.0,2.8,1051.0,10.84,-6
