Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,318.0,33.0,1.83,27.0,0.0,0.0,12.0,0.67,0
2011,632.0,-4.0,-0.21,2.0,33.0,16.5,-11.0,-0.61,-112
2012,635.0,32.0,1.88,61.0,10.0,0.16,66.0,3.88,902
2013,656.0,27.0,1.58,54.0,9.0,0.17,39.0,2.29,-15
2014,731.0,27.0,1.58,53.0,60.0,1.13,31.0,1.82,0
2015,815.0,40.0,2.36,76.0,93.0,1.22,47.0,2.76,48
2016,913.0,44.0,2.6,81.0,85.0,1.05,50.0,2.94,9
2017,1070.0,58.0,3.42,86.0,143.0,1.66,25.0,1.47,31
2018,1809.0,76.0,2.79,126.0,193.0,1.53,75.0,2.78,31
2019,2078.0,111.0,3.56,201.0,222.0,1.1,97.0,3.13,46
