Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,319.0,31.0,1.29,61.0,0.0,0.0,34.0,1.42,0
2011,455.0,17.0,1.88,62.0,11.0,0.18,0.0,0.0,-45
2012,379.0,-35.0,1.75,13.0,13.0,1.0,8.0,-0.4,-305
2013,215.0,-50.0,1.78,20.0,43.0,2.15,-4.0,0.14,-42
2014,217.0,-56.0,1.69,-3.0,18.0,0.0,6.0,-0.18,-12
2015,304.0,-3.0,1.5,18.0,4.0,0.22,12.0,-6.0,94
2016,284.0,-28.0,-28.0,-11.0,20.0,0.0,-10.0,-10.0,-836
2017,260.0,-10.0,-10.0,5.0,38.0,7.6,-2.0,-2.0,64
2018,262.0,-6.0,-6.0,4.0,31.0,7.75,-6.0,-6.0,39
2019,271.0,2.0,0.09,13.0,11.0,0.85,-5.0,-0.21,133
