Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,8150.0,-485.0,-1.74,-1065.0,3282.0,0.0,937.0,3.35,0
2010,9974.0,902.0,2.9,770.0,4668.0,6.06,1720.0,5.55,285
2011,10347.0,221.0,0.72,276.0,4914.0,17.8,1276.0,4.16,-75
2012,11262.0,1313.0,4.7,1275.0,5590.0,4.38,1269.0,4.53,494
2013,11704.0,1244.0,4.69,1028.0,6695.0,6.51,799.0,3.02,-5
2014,13287.0,1515.0,5.83,1406.0,6010.0,4.27,2526.0,9.72,21
2015,13300.0,1154.0,4.62,1237.0,7064.0,5.71,2243.0,8.97,-23
2016,12999.0,1192.0,5.1,1528.0,7618.0,4.99,1272.0,5.44,3
2017,14004.0,2079.0,9.36,1123.0,8133.0,7.24,788.0,3.55,74
2018,16127.0,1641.0,7.61,1788.0,8299.0,4.64,1943.0,9.04,-21
2019,16932.0,886.0,4.37,479.0,8886.0,18.55,-2686.0,-13.3,-46
